loan_amnt,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,loan_status,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc
13000,6.62,A,Inet. Corporation,6 years,MORTGAGE,150000,Fully Paid,19.65,Nov-96,11,0,8157,42,32
4800,12.12,B,dillards department stores,10+ years,RENT,40000,Fully Paid,17.91,Sep-96,9,0,5692,48.6,20
25000,17.1,C,Manager,9 years,MORTGAGE,70000,Fully Paid,18.77,May-93,10,0,39807,80,27
6425,13.11,B,MedStar Franklin Square Medical Center,2 years,RENT,48000,Fully Paid,22.38,Oct-04,12,0,8780,80.6,20
6650,24.89,F,kings supermarket,10+ years,RENT,25000,Charged Off,8.78,May-07,5,0,5991,95.1,6
10000,12.69,C,Aviation Transportation systems Manager ,10+ years,MORTGAGE,58000,Fully Paid,9.41,Oct-04,5,1,2574,49.5,8
7200,10.49,B,Endoscopy Technician,2 years,RENT,36000,Charged Off,19.53,Jun-06,8,0,7395,40.6,13
7775,17.56,D,Federal Aviation Administration,7 years,RENT,69000,Fully Paid,13.13,Mar-88,9,1,3131,27.7,22
20350,13.11,B,pfizer ,10+ years,MORTGAGE,57700,Fully Paid,22.67,Jan-92,15,0,39738,52.8,34
22800,15.99,D,Dental Tech,10+ years,OWN,60000,Charged Off,28.06,Mar-03,8,2,19047,99.7,19
1600,12.49,B,Registered Nurse,10+ years,MORTGAGE,65000,Charged Off,14.35,Aug-98,10,1,11142,74.3,23
22000,6.03,A,Tennessee Technological University,8 years,MORTGAGE,72000,Fully Paid,7.65,Dec-93,3,0,21422,61.2,12
15000,16.49,D,Credit Manager,10+ years,MORTGAGE,82000,Fully Paid,20.59,May-05,16,1,2377,15.8,30
4000,7.9,A,St. Francis Medical Center,5 years,MORTGAGE,36000,Fully Paid,9.13,Dec-00,8,0,2691,24.2,17
12000,13.65,C,Foreman,5 years,MORTGAGE,56900,Fully Paid,9.89,Sep-98,10,0,15986,44.2,16
22800,28.49,G,Area Loss Prevention Manager,10+ years,RENT,95650,Charged Off,18.16,Jul-00,23,0,18033,44.8,39
8400,14.33,C,,,RENT,55000,Fully Paid,11.93,Apr-93,13,0,9826,62.2,23
25375,15.31,C,Planner,10+ years,RENT,57852,Fully Paid,28.58,Sep-98,9,0,25237,71.7,17
12000,9.67,B,Pipeline technician ,1 year,RENT,65000,Fully Paid,17.36,Dec-97,5,0,13986,80.8,44
15000,13.33,C,driver,3 years,MORTGAGE,125000,Charged Off,9.5,Jul-96,12,1,21699,69.8,16
20000,6.54,A,NASA-Johnson Space Center,10+ years,MORTGAGE,155000,Fully Paid,2.13,Aug-85,11,0,5803,6.7,30
18000,12.69,C,owner/operator,10+ years,MORTGAGE,68000,Fully Paid,28.55,Oct-02,11,0,11862,74.6,24
5200,9.67,B,Sr. Training Developer,2 years,MORTGAGE,127000,Fully Paid,11.21,Jan-91,7,0,9267,38.9,24
7000,15.61,C,Company Driver,< 1 year,MORTGAGE,35000,Charged Off,29.8,Jul-02,16,0,13029,73.2,39
8000,9.67,B,PCA,3 years,RENT,40000,Fully Paid,29.37,Oct-06,17,0,6866,71.5,30
12000,18.54,E,assembly,3 years,RENT,45000,Fully Paid,20.64,Oct-09,19,0,1461,1.7,22
5000,18.75,D,Abbott nutrition ,10+ years,RENT,60000,Charged Off,20.2,Mar-02,6,0,4343,44.3,14
8725,16.99,D,Pharmacist,6 years,RENT,130000,Fully Paid,12.22,Oct-01,10,0,5798,80.5,26
20000,10.49,B,Clinical Manager,10+ years,MORTGAGE,97000,Fully Paid,21.22,Nov-97,10,0,21164,90.8,27
14250,9.71,B,Vocera Communications,3 years,RENT,81000,Fully Paid,19.02,Aug-04,7,0,13037,69.7,14
28000,9.67,B,Director,2 years,MORTGAGE,140000,Fully Paid,12.79,Apr-88,15,0,26691,39.8,34
35000,15.61,D,Business Manager,10+ years,RENT,103590,Fully Paid,14.87,Jun-98,4,0,48903,98.6,12
21350,10.64,B,Pasco County School District,10+ years,RENT,47897,Fully Paid,21.36,May-98,10,0,4948,28.4,24
16000,13.35,C,Press Operator,9 years,MORTGAGE,56000,Charged Off,23.3,Aug-04,12,0,5687,21.5,40
8000,20.5,E,Business Development | Marketing,10+ years,MORTGAGE,77000,Charged Off,16.88,Feb-99,8,1,5074,78.1,21
35000,11.99,B,Nurse Practitioner,7 years,MORTGAGE,112000,Fully Paid,12.64,Jun-01,21,0,13830,40.8,49
11200,12.99,B,machineoperator,10+ years,MORTGAGE,56000,Fully Paid,11.1,Jul-99,6,0,1491,14.9,16
9250,17.27,C,State of California,10+ years,MORTGAGE,65000,Fully Paid,18.11,Dec-01,14,0,15032,89.5,30
16300,16.29,D,Ground Opererations,5 years,MORTGAGE,41000,Fully Paid,18.12,Sep-95,7,0,7886,36,18
20000,14.64,C,Manager,10+ years,MORTGAGE,82000,Fully Paid,3.95,Sep-01,11,0,16088,27.8,31
12000,19.53,D,Customer Service Rep,2 years,OWN,40000,Fully Paid,24.87,Sep-12,15,0,3923,24.7,21
6000,13.98,C,cosmetologist,10+ years,MORTGAGE,36000,Charged Off,30.5,Oct-02,7,1,2332,44,11
12400,16.49,D,Plant Manager Assistant,2 years,OWN,31000,Fully Paid,18.94,Mar-08,7,0,2364,78.8,9
8275,15.41,D,Food Service Worker,10+ years,RENT,18000,Fully Paid,16.27,Jan-04,11,0,9041,38,21
20000,18.92,D,Senior Underwriter,8 years,MORTGAGE,68650,Charged Off,29.71,Aug-05,39,0,22227,32,63
17500,7.62,A,,,MORTGAGE,40000,Charged Off,17.84,Oct-95,11,1,11926,44.7,21
20000,8.9,A,Staff Auditor,< 1 year,MORTGAGE,47860,Charged Off,26.89,Sep-04,27,0,20226,67.2,49
10000,12.99,C,Teacher,9 years,MORTGAGE,57000,Fully Paid,8.84,Jan-97,6,2,3388,62.7,27
10000,21.15,E,Cemex,9 years,MORTGAGE,35000,Charged Off,12.48,Jul-94,10,1,10738,54.8,15
20800,7.26,A,Log Supervisor ,10+ years,MORTGAGE,112000,Fully Paid,14.18,Dec-85,9,0,26011,78.1,44
10000,14.3,C,District Manager,4 years,MORTGAGE,45837.59,Fully Paid,32.35,Nov-06,14,0,12696,70.9,21
11200,8.39,A,nursing home administrator,10+ years,OWN,80000,Fully Paid,2.13,Aug-84,24,0,7676,12.2,52
20125,18.25,D,US AIR FORCE ,< 1 year,MORTGAGE,56402,Fully Paid,19.79,Sep-88,9,0,16254,73.5,16
8000,11.71,B,THB Intermediaries Ins.,10+ years,RENT,135000,Fully Paid,20.83,Dec-88,11,0,60324,33.8,26
10000,20.8,E,Team Industrial Services,9 years,RENT,112000,Charged Off,11.24,Dec-99,13,0,3526,92.8,29
13600,16.99,D,Clamp Driver,8 years,RENT,38000,Charged Off,38.38,Oct-89,10,0,7772,44.7,28
30000,18.99,E,senior software engineer,8 years,RENT,100000,Fully Paid,15.6,Sep-06,24,0,15696,17,42
5200,13.49,C,Advisor,2 years,OWN,45000,Fully Paid,16.96,Dec-05,9,0,10200,32.7,27
9000,7.89,A,nuclear work leader,10+ years,MORTGAGE,70000,Fully Paid,23.32,Feb-01,9,0,26932,63.2,20
3200,18.99,E,Labor,3 years,MORTGAGE,67000,Fully Paid,25.05,Jan-00,16,0,36611,81.2,38
8500,5.79,A,,,MORTGAGE,57253,Fully Paid,19.32,Dec-80,11,0,8507,29.2,34
9000,7.9,A,Valley Communications Center,3 years,MORTGAGE,80000,Fully Paid,14.12,Sep-97,14,0,17392,44.4,25
35000,16.55,D,cfo,1 year,RENT,135000,Charged Off,13.19,Apr-03,19,1,24956,46.6,51
20000,11.71,B,LSR,2 years,MORTGAGE,55000,Fully Paid,23.89,Apr-00,9,0,19037,54.9,14
8325,16.29,D,,,RENT,19896,Charged Off,31.97,May-02,10,0,12720,59.7,11
12000,8.9,A,Princeton University,2 years,RENT,89000,Fully Paid,8.95,Jul-94,14,0,24840,29.8,42
9000,10.16,B,ingenix,10+ years,MORTGAGE,46000,Fully Paid,18.21,Jun-97,9,0,9762,58.1,18
5000,6.62,A,Comprehensive Accounting Services,10+ years,MORTGAGE,54000,Fully Paid,13.91,Oct-89,16,0,1848,5.4,35
1200,11.49,B,physician associates,5 years,RENT,36000,Fully Paid,9.6,Feb-06,11,1,4238,58.9,11
4800,13.98,C,driver,10+ years,MORTGAGE,72000,Fully Paid,25.87,May-03,17,0,12265,34.9,38
35000,18.79,E,City of South Gate,10+ years,OWN,130000,Fully Paid,3.25,Nov-94,11,0,99967,41.6,53
19000,14.31,C,Regional Vice President,10+ years,RENT,165000,Fully Paid,5.79,Sep-87,8,0,8273,82,21
21000,8.18,B,Broker,4 years,RENT,42000,Fully Paid,29.51,Nov-00,7,0,6920,54.9,24
18000,21.99,E,"Assistant Director, Disability Services",3 years,OWN,74443.77,Fully Paid,21.92,Sep-00,17,0,17610,47.3,28
25000,23.99,F,IT Specialist,10+ years,MORTGAGE,78000,Charged Off,16.23,Aug-83,11,1,14282,92,30
5000,14.3,C,Pharmacist,10+ years,MORTGAGE,150000,Fully Paid,13.53,Sep-76,16,0,24415,57.7,34
8000,14.46,C,CT X-ray Technologist ,7 years,MORTGAGE,65000,Fully Paid,35.88,May-04,7,0,20900,68.5,15
4200,15.22,C,Dupont,10+ years,OWN,29000,Fully Paid,12.47,Feb-90,3,0,0,0,15
16500,9.16,B,Security Manager,10+ years,RENT,60320,Fully Paid,14.78,Mar-99,2,0,13845,81.4,18
20000,10.99,B,Claris Networks,2 years,RENT,70000,Fully Paid,19.77,Nov-03,13,0,18398,57.7,23
4375,10.16,B,Metroplex BallPark service,10+ years,RENT,15000,Charged Off,16.8,May-98,5,0,8810,55.1,14
1000,19.52,D,Big Lots,3 years,RENT,23712,Fully Paid,17.91,Sep-05,6,0,1266,16.9,6
17000,12.99,C,ACTIVE DUTY CPO,10+ years,MORTGAGE,56000,Fully Paid,23.79,Aug-00,12,0,19569,93.6,21
4850,15.31,C,"SR Instruments, INC",6 years,RENT,31575,Fully Paid,15.35,Mar-02,6,0,3135,76.5,33
12750,25.83,G,Marketing,3 years,RENT,58000,Fully Paid,21.66,Sep-98,14,0,11158,48.9,29
10000,7.62,A,Midcom Corporation,10+ years,RENT,55000,Fully Paid,14.41,Jan-01,10,0,12417,21,20
18400,15.8,C,Power Electronics,< 1 year,MORTGAGE,55000,Fully Paid,15.25,Nov-98,9,0,22731,81.2,27
7000,13.35,C,water technician ,1 year,RENT,40000,Fully Paid,33.81,Jun-09,17,0,8490,78.6,22
6000,14.49,C,Case Manager Assistant,6 years,OWN,50000,Fully Paid,13.2,Dec-96,20,0,13314,56.9,24
12000,16.55,D,Operations Manager,4 years,RENT,60000,Fully Paid,14.22,Nov-08,7,0,18335,77.7,7
9750,11.55,B,Honeywell,< 1 year,RENT,30000,Fully Paid,24.44,Dec-94,10,1,13508,55.6,29
16000,19.72,D,AC FIRST,1 year,MORTGAGE,120000,Charged Off,15.17,Feb-01,10,0,5448,72.6,21
16150,21.99,F,SR. STORES SUPERVISOR,10+ years,RENT,68082,Charged Off,35.33,Apr-86,17,0,29571,68.8,34
10000,9.71,B,Blevins Inc,10+ years,MORTGAGE,84000,Fully Paid,11.67,Jul-01,10,1,7474,39.5,19
4500,12.69,C,Loss prevention investigator,4 years,RENT,49000,Fully Paid,21.77,Mar-05,7,0,8356,92.8,36
15000,13.98,C,Gs-14,10+ years,MORTGAGE,150000,Fully Paid,6.65,Jun-95,10,0,15028,78.7,40
9600,13.35,C,Logistics Supervisor Supply Chain,10+ years,MORTGAGE,64000,Fully Paid,20.63,Feb-98,20,0,9217,24.9,24
16000,13.99,C,Network Engineer,10+ years,MORTGAGE,86000,Fully Paid,21.09,Nov-05,12,0,5891,32.2,23
16000,12.68,C,Merrill Corporation,7 years,RENT,90000,Fully Paid,15.05,Dec-79,14,0,13754,75.2,19
10000,8.9,A,Electrical Engineer,1 year,RENT,45000,Fully Paid,20.49,May-04,17,0,10621,27.4,36
5000,24.11,F,Lead,8 years,MORTGAGE,37000,Charged Off,36.1,Aug-05,4,0,1161,55.3,11
18000,8.9,A,Account Manager,3 years,MORTGAGE,150000,Fully Paid,4.54,Aug-02,11,0,13242,57.6,25
15000,10.49,B,shop forman,10+ years,MORTGAGE,99000,Fully Paid,14.41,Feb-05,6,0,6579,90.1,34
18600,12.69,C,Software QA & Development Engineer (NMS),< 1 year,RENT,115000,Fully Paid,6.51,Feb-01,10,0,17,0.1,22
15000,18.99,E,Maintenance ,3 years,MORTGAGE,50000,Charged Off,18.63,Jul-99,12,1,6829,45.8,25
5000,15.61,D,NDT level 2,1 year,MORTGAGE,50000,Charged Off,21.51,Mar-04,11,2,2475,38.1,22
20000,22.15,E,Senior V.P. General Manager,10+ years,OWN,125000,Fully Paid,25.07,Aug-92,15,0,54788,88.9,36
7000,6.03,A,DC Police Department,10+ years,MORTGAGE,74000,Fully Paid,2.23,Apr-94,6,0,24097,30.4,19
3600,9.17,B,Project Manager,2 years,RENT,95000,Fully Paid,17.1,Mar-92,15,1,4067,50.8,48
18000,19.03,E,ZIMFA INC,4 years,RENT,36000,Charged Off,5.43,Aug-08,13,0,4545,18.6,17
15850,15.61,D,Assistant Bookkeeper,10+ years,RENT,39000,Charged Off,25.35,Oct-90,10,0,8104,78.7,19
18000,13.65,C,Planning Engineer,6 years,RENT,119775,Fully Paid,8.32,Mar-01,6,2,4933,29,13
15000,14.46,C,Police Officer,< 1 year,RENT,54000,Fully Paid,6.97,Sep-09,7,0,8933,72.6,21
18000,9.99,B,Truck Driver,5 years,MORTGAGE,125000,Fully Paid,23.04,Mar-99,13,0,11365,27.6,34
2600,11.47,B,Lead Echocardiographer ,2 years,MORTGAGE,76000,Fully Paid,19.3,Jul-97,10,1,7978,63.8,19
24000,17.27,D,construction project manager,7 years,MORTGAGE,60000,Fully Paid,17.32,Apr-02,10,0,50961,76,19
6200,18.85,D,JFC. International,10+ years,RENT,90000,Fully Paid,7.11,Jan-99,13,1,1995,27,47
5000,6.39,A,Math Teacher,4 years,MORTGAGE,40000,Fully Paid,18.51,Feb-05,11,0,5165,36.4,24
8400,8.6,A,edm technician and sr. lead production,7 years,MORTGAGE,94000,Fully Paid,14.35,Jan-97,12,0,2616,13,36
16000,12.12,B,aaron and trecker,10+ years,MORTGAGE,50000,Fully Paid,16.7,Apr-96,8,1,10362,52.3,18
11400,13.99,C,warehouse lead man ,10+ years,MORTGAGE,42000,Fully Paid,16.08,Jul-09,12,0,28906,68,18
7200,13.99,C,Calvary Recovery Center,< 1 year,RENT,42000,Fully Paid,12.54,Nov-92,22,0,5817,33.1,28
12600,14.31,C,Maintenance Tech/Supervisor,9 years,RENT,80000,Fully Paid,10.77,Jun-03,10,3,6654,46.5,13
27575,22.4,E,Resources Managment Specialist,10+ years,MORTGAGE,82440,Fully Paid,31.12,Dec-98,20,0,28320,58.8,34
35000,14.64,C,Agent ,4 years,MORTGAGE,130000,Fully Paid,3.47,May-02,15,0,17110,11.5,23
9000,8.9,A,PdM Radars Instructor,6 years,MORTGAGE,70800,Fully Paid,17.51,May-95,15,0,8769,46.9,27
11500,16.29,C,Atlantic Track,1 year,RENT,34000,Charged Off,30.42,May-91,7,0,9547,68.7,23
15000,9.99,B,Realtor,1 year,MORTGAGE,180000,Fully Paid,8.23,Dec-04,8,0,7339,59.2,25
13000,15.1,C,Walmart,10+ years,MORTGAGE,50000,Fully Paid,12.59,Apr-07,7,0,13461,58.8,11
3350,13.67,B,processor,7 years,RENT,21370,Fully Paid,9.6,Apr-98,6,1,4179,51.6,11
11500,15.31,C,,,MORTGAGE,49500,Fully Paid,28.41,Jun-95,5,0,11421,85.9,16
20000,14.33,C,USDM Hopsital,6 years,MORTGAGE,85000,Fully Paid,19.98,Sep-96,11,0,9839,33,19
16000,11.99,B,LA Controller,9 years,OWN,120000,Fully Paid,10.41,Sep-06,13,0,12919,87.3,26
10000,10.15,B,payroll,3 years,MORTGAGE,45000,Fully Paid,23.33,Nov-94,14,1,11093,25.9,50
16000,20.2,D,Implementation Manager,5 years,RENT,70000,Charged Off,21.14,Jan-96,9,0,11337,65.9,22
12000,9.17,B,911 operator,8 years,MORTGAGE,60000,Fully Paid,29.01,Jan-99,20,1,17209,66.7,31
22550,20.99,E,Vice President Engineering,2 years,MORTGAGE,156000,Fully Paid,25.23,Aug-96,12,1,12611,50,41
14400,13.99,C,HANOVER HOSPITAL,10+ years,MORTGAGE,55000,Fully Paid,8.09,Oct-94,7,0,10851,72.8,19
10000,14.99,C,Administrative Assistant,10+ years,MORTGAGE,36000,Fully Paid,11.47,Sep-00,10,0,7799,69.6,15
8000,10.99,B,RN,10+ years,RENT,90000,Fully Paid,22.84,Feb-01,15,1,7450,36,37
23450,12.59,C,,,OWN,51000,Fully Paid,18.23,May-70,25,0,47641,32,50
35000,17.86,D,owner,10+ years,OWN,485000,Fully Paid,8.76,Oct-86,21,0,32812,23.9,97
11000,8.9,A,Operations Support,10+ years,MORTGAGE,82000,Fully Paid,7.05,Mar-03,11,1,10662,16.6,21
7200,12.12,B,T-Mobile,8 years,MORTGAGE,65000,Fully Paid,4.47,Jan-07,6,0,4808,29.6,7
21000,10.99,B,Attorney,< 1 year,RENT,115000,Fully Paid,15.27,Nov-93,10,0,43680,77,18
2000,8.9,A,operations manager,10+ years,MORTGAGE,65000,Fully Paid,10.62,Dec-98,6,0,1917,16.7,18
14000,10.99,B,Program Analyst,5 years,MORTGAGE,118000,Fully Paid,10.15,Nov-97,9,0,1904,29.7,24
4000,12.69,C,Seminar Sales,3 years,RENT,41500,Fully Paid,30.45,Oct-01,11,0,7419,82.4,13
12000,10.49,B,Mortgage Consultant,< 1 year,MORTGAGE,70000,Fully Paid,30.36,Apr-96,8,0,12150,92.7,21
19500,10.15,B,Project Manager,6 years,OWN,50000,Fully Paid,23.76,Jun-06,8,0,6836,44.1,9
17825,10.16,B,Long Island Spine Rehabilitation Medicin,10+ years,MORTGAGE,86000,Fully Paid,12.32,Mar-97,14,0,20780,53.7,30
7325,10.16,B,HSN,4 years,MORTGAGE,26000,Charged Off,25.89,Jun-96,12,0,19383,53.8,28
17500,10.16,B,Academy of Art University,< 1 year,RENT,40000,Fully Paid,31.17,Oct-00,11,0,18310,40.6,19
23675,16.99,D,Sr Programmer Analyst,6 years,OWN,98000,Fully Paid,14.5,Jul-87,5,1,4165,65.1,13
20000,15.61,D,Network Admin,6 years,MORTGAGE,66000,Fully Paid,18.02,Jul-03,11,0,8684,31.6,14
3025,6.17,A,PHT Corporation,< 1 year,MORTGAGE,200000,Fully Paid,8.33,Jul-97,8,0,106053,35.9,31
19000,5.32,A,Quality Manager,6 years,MORTGAGE,105000,Fully Paid,16.71,Apr-98,8,0,30919,38.7,16
18525,12.69,C,physician/owner,8 years,MORTGAGE,150000,Fully Paid,22.69,Jan-94,11,1,794,3.1,28
10000,7.49,A,Bioinformatics Scientist,2 years,RENT,55000,Fully Paid,20.63,Aug-07,18,0,16740,77.1,27
8000,14.65,C,Registered Nurse,1 year,RENT,65000,Charged Off,33.18,Jul-07,22,0,23090,81.3,35
11975,16.29,C,Midway Leasing,4 years,RENT,24000,Charged Off,16.85,Dec-04,5,0,9653,95.7,11
20000,6.99,A,Sr Project Manager,3 years,OWN,130000,Fully Paid,12.88,Nov-88,10,0,5673,10.2,38
30000,10.16,B,Gamecreek Video,7 years,MORTGAGE,125000,Fully Paid,11.02,Sep-99,12,0,24188,36.5,35
29000,11.99,B,Assistant Principal,8 years,MORTGAGE,70000,Fully Paid,24.38,Aug-79,28,0,28166,26.7,58
24000,7.62,A,DAVID MCDAVID HONDA FRISCO,7 years,MORTGAGE,190000,Fully Paid,17.06,Jan-00,17,0,65508,45.7,42
15000,9.17,B,IT Trainer,1 year,RENT,63000,Charged Off,18.78,Sep-03,10,0,10379,66.5,55
1400,13.35,C,Merchandise controller assistant,10+ years,MORTGAGE,35000,Fully Paid,10.66,Aug-97,27,0,2135,4,40
10000,12.99,C,CPhT,3 years,OWN,54000,Fully Paid,18.4,Feb-77,13,0,9443,12.5,27
15000,7.51,A,Quest Diagnostics,10+ years,MORTGAGE,49772.64,Charged Off,26.26,Jul-86,11,0,108339,39.5,25
16000,6.89,A,Technology Integration Specialist,5 years,MORTGAGE,56000,Fully Paid,27.5,Dec-96,11,0,20481,48.1,24
8000,8.67,B,International Sales Manager,1 year,RENT,75000,Fully Paid,25.9,Jan-05,29,0,8862,11.5,55
11200,11.14,B,"Walberg, Tucker & Holmes, PC",10+ years,MORTGAGE,56000,Charged Off,27.17,Oct-98,12,1,20137,70.4,27
8000,10.15,B,Planner,< 1 year,RENT,90000,Fully Paid,2.37,Sep-02,6,0,8019,59.4,17
34625,24.08,F,Information Security Specialist ,6 years,RENT,72375,Charged Off,38.72,Dec-95,9,0,36729,54.1,24
25000,23.99,F,Teacher,3 years,OWN,80000,Charged Off,19.74,Jun-04,12,1,5206,57.2,23
8000,8.9,A,Grady County School System,9 years,RENT,25000,Fully Paid,13.1,Dec-99,4,0,13373,44.6,8
15475,16.55,D,Legal Secretary,10+ years,OWN,31000,Fully Paid,35.85,Sep-88,18,0,12862,34,33
3350,9.17,B,,,OWN,8000,Fully Paid,29.88,May-90,7,1,2282,16.5,13
4075,8.67,B,Manager,5 years,RENT,31000,Fully Paid,19.59,Aug-05,20,0,3407,18.4,39
12000,13.33,C,Solid Waste Driver,6 years,MORTGAGE,65000,Fully Paid,3.93,Sep-04,5,0,8719,30.7,8
22000,13.98,C,Equipment operator,10+ years,MORTGAGE,75000,Charged Off,26.45,Aug-97,19,0,16070,30,47
19000,9.49,B,Lead Associate,5 years,MORTGAGE,130000,Fully Paid,15.9,Nov-04,14,0,15756,81.2,29
15850,16.2,C,Import Specialist,3 years,RENT,36000,Charged Off,32.6,Oct-07,10,0,12953,53.7,15
35000,15.31,C,University of Texas Health System,1 year,RENT,113000,Charged Off,24.37,May-02,16,0,72017,59.3,26
17425,9.99,B,Superindent,10+ years,MORTGAGE,50000,Fully Paid,25.61,Nov-88,12,2,4178,18.3,25
8000,8.9,A,Interior Coord/Cust Svc,1 year,RENT,49000,Fully Paid,17.81,Nov-88,19,0,4703,14,36
4000,8.9,A,Bakersfield Heart Hospital,8 years,MORTGAGE,41891,Fully Paid,29.91,Jan-99,17,0,11836,57.7,29
30000,11.55,B,Cravath Swaine & Moore,7 years,MORTGAGE,75000,Fully Paid,18.13,Mar-97,14,0,21922,61.2,39
10000,7.9,A,LOS ANGELES Jr CHAMBER OF COMMERCE,5 years,MORTGAGE,75000,Charged Off,3.7,Apr-00,8,0,8401,57.9,11
20000,12.42,B,crowne plaza cabana hotel,8 years,RENT,56000,Charged Off,14.9,Jun-96,13,0,20601,85.9,32
1000,7.9,A,Rocky Intertidal CoCreative LLC,1 year,RENT,60000,Charged Off,18.88,Jan-95,13,0,21311,79.8,20
6075,13.98,C,Teacher,1 year,MORTGAGE,35000,Fully Paid,31.6,Nov-00,12,0,7590,58.4,32
14300,17.27,D,correction officer,6 years,MORTGAGE,65000,Fully Paid,18.46,Feb-03,8,0,7723,70.9,13
12000,17.57,D,,,MORTGAGE,33000,Fully Paid,10.18,Sep-98,12,2,2920,38.9,25
15000,13.99,C,LVN,8 years,RENT,60000,Fully Paid,9.34,Dec-06,12,0,11679,50.6,18
6700,7.66,A,Tops Markets,< 1 year,RENT,12000,Charged Off,6.6,Aug-05,5,0,2215,51.5,7
14000,12.69,C,Operations Manager,10+ years,RENT,102500,Fully Paid,7.17,Oct-88,19,1,8834,20,48
4800,8.9,A,CenterPoint Energy,3 years,MORTGAGE,58000,Fully Paid,19.37,Jan-96,10,0,8592,24.4,32
35000,16.99,D,Field Service Engineer,10+ years,MORTGAGE,110000,Fully Paid,7.15,May-96,9,0,848,3.6,29
21000,14.99,C,E-6/ technical sergeant ,10+ years,RENT,65000,Fully Paid,30.54,Dec-00,12,0,22044,80.5,36
35000,11.99,B,Lead Estimator ,4 years,MORTGAGE,95000,Fully Paid,22.79,Jun-00,9,0,23571,54.3,48
9000,13.33,C,Managing Partner,10+ years,RENT,72500,Fully Paid,23.26,Apr-70,18,0,43643,56,30
18000,9.16,B,Maintenance Tech,3 years,OWN,80000,Fully Paid,6.5,Oct-04,6,1,0,0,14
14000,6.03,A,VP of Warehousing,8 years,MORTGAGE,108000,Fully Paid,15.63,Dec-02,9,0,16707,39.6,38
22000,12.49,B,Electrician,10+ years,MORTGAGE,70000,Fully Paid,16.08,Jul-02,6,0,10713,90.8,25
7000,12.49,B,Certified orthotic fitter,7 years,MORTGAGE,35000,Fully Paid,24.02,Feb-01,11,1,3830,50.4,35
13025,16.55,D,Associate Project Manager,1 year,MORTGAGE,64000,Fully Paid,29.37,Feb-03,6,0,55415,83.6,15
16000,18.25,E,mailhandler,10+ years,OWN,54000,Fully Paid,18.02,Apr-05,8,0,7259,63.1,18
5250,7.51,A,Sony Corporation,10+ years,MORTGAGE,72000,Fully Paid,27.44,Nov-87,14,0,38388,35.8,53
15000,7.62,A,spirit areosystems,10+ years,MORTGAGE,70000,Fully Paid,31.15,Dec-97,10,1,9421,26.9,24
15000,8.9,A,City of Rancho Cucamonga,5 years,MORTGAGE,52000,Fully Paid,11.82,Mar-98,10,0,10113,31.4,35
11250,18.54,E,Regional Financial Analyst,2 years,MORTGAGE,82400,Fully Paid,11.39,May-07,12,0,10239,29.2,28
20000,14.49,C,Special Agent,10+ years,RENT,122900,Fully Paid,11.08,Apr-02,10,0,3555,28.4,22
8500,6.89,A,foreman,5 years,MORTGAGE,65000,Fully Paid,19.57,Aug-10,8,0,8553,58.2,14
2100,11.48,B,City of Irving,< 1 year,RENT,45000,Fully Paid,18.24,Sep-04,4,0,6554,55.1,16
12000,13.99,C,Office Manager,10+ years,MORTGAGE,35000,Fully Paid,28.88,Sep-09,7,0,12659,80.1,16
12250,6.91,A,School District of Oconee County,4 years,MORTGAGE,40000,Charged Off,10.89,Feb-98,7,0,10529,85.6,22
21000,7.9,A,staff Physical Therapist,5 years,MORTGAGE,90000,Fully Paid,18.53,May-00,10,0,29730,32.9,24
21000,10.15,B,CEO,10+ years,RENT,100000,Charged Off,7.8,Jul-90,12,0,38148,63.3,47
20000,20.99,E,Contact Center Supervisor,2 years,OWN,60000,Fully Paid,7.88,Jul-04,6,0,20092,88.1,48
19500,8.39,A,Warehouse Manager,7 years,RENT,43633.44,Fully Paid,29.1,Apr-98,11,0,21412,62.1,21
6000,13.53,B,General manager,3 years,MORTGAGE,35000,Fully Paid,26.99,Jun-99,7,0,5195,75.3,22
14075,12.74,C,Clerk,7 years,OWN,40000,Fully Paid,16.71,May-05,9,0,15738,57.2,19
11750,14.09,B,United States Patent & Trademark Office,8 years,MORTGAGE,140000,Charged Off,22.16,Apr-01,6,0,6969,69.7,46
4000,7.4,A,State of Florida also on Social Security Retirement,10+ years,RENT,28000,Fully Paid,1.89,Jul-87,8,0,2198,8.7,24
7000,13.65,C,Project Manager,10+ years,MORTGAGE,80000,Fully Paid,27.09,Oct-96,18,0,32800,77.5,43
6150,22.45,E,IT Technitian ,8 years,MORTGAGE,58000,Charged Off,35.05,May-02,17,0,36262,45.4,29
21450,10.99,B,Capital Planning and Grants Manager,10+ years,MORTGAGE,81000,Fully Paid,28.22,Dec-00,19,0,14413,21.3,44
26000,11.44,B,Security Forces,10+ years,MORTGAGE,72000,Charged Off,25,Jan-99,14,0,25764,79.8,42
14700,23.99,F,slot technician,8 years,MORTGAGE,48000,Fully Paid,31.4,Jan-10,17,0,18260,58.7,18
20000,23.76,F,Ivy Tech CC,3 years,RENT,46000,Fully Paid,24.7,Oct-03,8,0,12095,84,16
20125,23.28,F,Tyco Valves & Controls,10+ years,MORTGAGE,58000,Fully Paid,26.42,Jun-01,8,0,11070,92.4,26
